bedroom,area,bath,balcony,price
3,2400,4,1,130
3,1200,2,0,66
5,2400,5,2,200
4,4500,5,3,150
6,1380,7,2,130
4,4290,5,3,625
6,2500,6,0,81
3,2400,2,2,300
4,1350,4,1,90
7,1550,7,3,160
4,2704,5,0,105
2,3760,2,0,280
5,1600,5,2,140
7,1200,7,2,139
4,2400,5,2,100
4,2429,3,1,210
4,2500,5,2,245
3,2100,3,0,70
6,1680,4,1,250
4,1920,5,2,250
1,1350,2,0,45
5,2925,5,3,936
8,1800,8,1,110
5,7200,5,2,900
3,2500,5,1,120
6,1400,6,3,160
4,1200,4,2,130
6,1800,6,0,68
4,1495,2,1,300
8,1244,6,2,130
4,750,4,2,120
4,4800,6,2,420
3,720,3,1,48
3,1050,3,1,175
3,2400,2,1,125
6,930,6,1,150
1,2400,2,0,230
2,1200,1,1,36
4,3400,5,0,265
4,2600,4,2,523
2,1200,1,1,36
3,3000,3,1,550
1,1806,1,1,150
3,1282,3,2,178
4,2000,4,0,100
2,1000,2,1,42
3,1200,2,0,66
2,680,3,2,60
5,1200,4,3,240
4,1600,3,0,140
4,2990,3,2,198
4,1500,4,1,89.45
3,1500,3,1,90
3,1600,3,0,69.1
4,2500,4,1,420
4,2000,4,1,85
2,1050,2,1,110
4,1050,3,0,147
1,560,1,0,90
3,1000,2,1,120
5,1200,5,,260
6,1314,5,1,120
4,3600,4,,330
6,1200,6,1,100
2,1200,1,1,200
4,3000,4,2,160
4,1200,4,3,210
3,1300,3,1,170
3,2320,2,0,160
4,4700,5,3,800
1,588,1,0,88.2
1,1150,1,0,52
2,1840,1,0,95
4,2400,4,2,89
4,10961,4,1,80
4,1200,2,1,140
6,1200,6,,125
5,2520,4,1,378
4,2200,4,2,130
3,1200,2,0,66
2,753,3,3,59.5
3,1700,3,1,250
6,1000,6,3,150
3,1200,3,1,56.72
4,1200,4,0,130
4,1200,4,1,125
6,2400,6,0,480
4,1200,4,2,300
2,984,2,2,125
3,1200,3,2,76.13
8,1700,3,2,50
9,4320,7,2,821
5,9600,6,1,1800
4,3000,4,3,264
4,540,4,2,85
2,1230,2,0,68
4,2900,4,3,225
3,2110,4,3,120
4,4560,5,,430
4,2400,3,1,750
2,1200,1,1,36
3,1555,3,1,100
3,600,2,1,85
4,2400,4,1,344
6,3000,6,2,150
1,1Grounds,1,1,48
4,2760,4,2,290
2,845,2,1,45.82
4,2557,,,170
5,2640,6,1,225
2,1245,2,1,120
3,600,3,2,79
4,2280,4,2,615
4,2440,2,0,415
4,720,4,1,95
5,4000,5,0,800
2,900,2,0,55
10,1200,8,3,230
1,1500,1,1,300
6,3000,6,3,300
9,1200,9,0,350
3,2940Sq. Yards,3,1,232
4,2000,4,1,312
4,1453,4,1,160
4,2400,5,,1250
1,500,1,0,70
3,1415,2,1,74
7,1300,4,1,52
5,10000,5,,1950
4,2000,3,0,90
5,950,5,2,55
4,1200,4,1,175
4,1200,3,1,160
3,1500,3,1,78.57
5,1500,5,3,265
5,1200,3,1,79
1,450,1,0,30
3,1200,4,1,220
4,1800,4,0,230
4,612,3,0,47
5,3750,6,2,295
4,2065,4,0,248
6,1080,5,2,160
6,650,6,2,80
6,1200,6,1,260
3,2400,3,0,408
4,1200,4,2,115
3,1232,3,1,96
5,1800,5,0,70
1,900,1,1,52.3
6,1508,5,2,240
3,2125,3,1,107
2,1200,2,1,110
3,1400,2,1,78
2,600,2,0,65
5,717,5,1,78
3,2000,3,2,300
3,600,3,2,85
1,600,1,0,45
2,500,1,0,55
3,3117,3,2,261
3,900,3,1,79
5,5400,4,,700
7,1400,5,2,175
2,2400,2,1,228
4,1500,2,0,87
4,3200,4,1,350
4,3170,4,3,250
4,4800,4,3,420
4,2100,3,1,1000
4,2500,4,3,300
3,2400,3,1,250
10,3300,9,,450
4,2970,3,3,130
3,500,2,1,75
2,1200,2,0,105
3,4446,3,2,410
3,3150,3,1,290
3,1320,2,1,95
7,820,7,3,140
5,8000,5,3,550
4,2400,5,3,500
4,2000,4,1,130
2,1056,1,0,250
3,3009,3,1,331
4,675,4,0,140
3,2400,3,1,177
5,1200,4,2,240
4,1410,2,0,280
4,2200,2,0,150
3,1092,3,1,95
1,2000,1,0,200
4,4000,5,1,578
6,2000,6,3,300
6,600,6,2,75
4,1500,4,1,105
5,750,3,1,95
5,2800,5,3,130
4,2400,4,,350
5,1200,5,,290
5,1100,5,1,165
2,1152,1,0,66
4,1200,5,,325
4,1200,4,1,110
4,1320,4,3,249
4,600,4,2,60
4,1200,4,2,250
6,1200,6,2,330
2,1200,1,1,36
5,800,5,1,95
3,3210,4,2,380
4,1200,4,2,135
4,3750,5,3,145
2,900,2,1,48
4,1200,4,2,130
5,2400,5,2,700
3,1000,3,1,90
4,1800,3,2,190
6,1200,6,3,180
3,2400,6,2,775
2,1200,1,0,70
2,1200,3,1,70
6,1200,9,3,122
6,890,5,2,160
3,857,3,2,95
3,1200,3,0,50
3,1800,2,1,230
5,2400,4,0,97
4,3940,5,3,265
6,600,5,3,130
8,600,4,3,175
3,2325,3,,95
5,570,5,0,80
3,1500,4,2,180
2,1200,2,1,75
7,4278,7,1,299
1,400,2,1,50
3,1200,4,2,180
5,3100,6,1,165
1,1200,1,0,48
2,600,1,0,68
4,6000,4,0,625
4,600,3,0,77
3,2400,4,1,240
1,10030,1,1,150
3,2500,4,0,140
4,3600,4,0,225
3,2400,4,0,95
4,700,4,2,125
9,3200,8,1,130
3,1900,2,,92
4,1600,4,2,300
3,3900,3,3,250
2,1400,2,2,160
6,1200,5,1,280
6,1200,6,2,160
5,1035,5,1,170
4,740,2,1,24.5
4,936,2,1,60.84
3,1200,4,1,156
4,4201,4,3,435
3,610,2,1,75
1,600,1,0,20
4,4382,4,3,400
3,2400,3,0,360
4,600,3,1,97
4,3000,3,0,132
6,1200,6,3,132
2,1000,2,0,66
3,1200,3,,105
2,1200,2,3,135
4,2400,4,1,150
5,800,5,1,95
5,1400,5,1,97
5,4400,5,3,240
3,1200,2,0,66
1,1500,2,0,85
5,2801.25,4,1,462
4,5000,5,3,300
2,1688.12,2,1,270
3,3000,3,2,450
9,1590,6,1,150
1,600,1,0,37
2,1200,4,1,138
4,5000,5,2,325
6,4000,6,2,460
2,1500,2,0,90
2,1200,2,1,36.1
6,510,4,1,70
3,1733.5,3,1,120
4,10624,4,2,2340
4,1500,5,3,160
8,1050,5,0,80
4,1900,4,2,185
3,2440,3,1,142
5,1200,4,3,240
4,2400,3,2,400
5,2800,5,1,220
4,702,4,0,65
3,2400,2,2,185
3,610,3,1,60
4,3092,4,3,230
6,4000,6,0,230
4,3913,5,0,176
8,3450,7,2,225
5,2500,3,1,120
5,2600,5,3,370
4,1200,4,2,240
4,1200,4,,190
3,1200,3,2,226
5,1700,5,2,300
3,1500,3,1,61.95
2,1500,2,0,145
4,3150,3,1,135
4,7500,6,2,1800
2,600,2,2,29.5
3,675,3,2,75
4,1632,3,0,140
9,1200,9,3,230
3,1400,3,1,90
5,1500,6,3,155
2,1050,2,0,40
5,1200,4,3,240
2,1.25Acres,2,2,200
3,2690,3,2,295
4,800,4,,60
2,1200,2,1,36.1
4,1200,4,3,240
3,980,3,1,80
2,1500,2,0,230
4,2800,4,,375
3,600,3,2,125
2,2200,2,0,180
4,2880,3,2,211
3,2826,3,1,148
4,3500,4,0,150
4,5400,4,,250
4,1000,5,2,200
4,1900,4,2,80
2,1200,2,1,70
2,1200,2,0,130
4,3418,,,222
5,4200,5,,245
5,3600,5,3,130
4,1800,3,2,700
4,2500,4,0,100
7,1900,3,0,162
4,3090,4,,350
4,2700,4,3,295
8,1200,7,1,175
2,1300,2,2,95
4,5000,5,3,950
2,1600,2,1,160
2,600,1,0,90
5,2400,5,1,150
4,2400,4,2,595
1,500,2,0,80
4,2000,4,0,90
9,1560,9,,200
1,1200,1,0,45
1,1350,1,0,55
4,3200,4,2,350
4,800,5,1,95.5
4,4000,3,2,750
4,2064,5,2,225
5,2760,5,,140
2,900,2,0,55
9,1200,13,,150
6,1350,4,1,203
2,2260,3,1,90
3,4800,4,2,600
4,600,5,1,105
4,2916,5,1,230
4,3675,4,3,176
4,2088,5,0,110
5,10000,4,2,975
5,2250,5,,240
8,3000,8,0,150
4,3758,4,2,450
5,1200,5,1,225
4,6000,4,,410
5,3000,4,3,170
4,2200,3,1,225
3,2316,3,0,125
7,1200,5,3,185
2,1200,2,0,73
5,4000,4,3,240
3,1800,3,1,204
4,1050,6,1,74
2,1348,2,0,100
4,1350,4,0,175
5,1200,5,2,138
4,5000,4,2,536
4,1500,3,2,162
2,900,2,0,55
6,1200,5,0,260
8,4482,6,2,852
3,1200,3,0,200
4,3565,4,0,218
2,1000,2,1,35
3,2600,3,1,375
5,1200,4,3,240
4,900,4,1,70
5,2350,5,,325
3,1200,3,2,225
2,2100,1,1,200
1,600,1,1,125
2,1050,2,2,125
5,900,5,0,55
4,3200,4,0,270
2,900,2,2,160
5,2400,4,3,130
4,875,4,0,150
4,1200,6,3,60
4,1880,4,0,154
4,600,4,2,95
4,4500,4,0,150
4,600,4,3,65
2,1200,1,0,42
4,1350,4,1,230
3,900,3,1,75
4,1560,3,2,149
3,1200,3,1,67.77
6,2700,7,3,110
3,1448,3,1,70
8,3600,9,3,125
4,1650,2,1,140
8,3000,5,,130
8,1120,8,,155
2,1250,3,0,170
3,4395,3,3,240
6,1200,5,0,150
3,1800,3,0,95
10,1200,11,,105
4,4500,4,,330
5,2000,5,2,240
10,7200,10,3,200
3,2000,3,1,76
5,1200,4,1,130
3,1200,3,1,80
3,1500,2,1,200
4,950,4,,180
6,782,4,2,85
3,1200,3,,110
3,600,4,2,125
4,940,4,2,45
8,2400,8,1,250
4,1560,4,1,160
4,3850,6,0,205
6,2400,7,2,107
4,1500,4,3,185
4,3300,4,2,135
3,1200,2,0,190
4,3453,4,2,247
4,1200,4,2,165
4,623,4,1,75
4,1500,3,2,230
6,600,6,2,80
4,600,3,1,84
3,1200,2,0,90
5,1200,3,1,65
6,3600,6,1,170
2,1150,2,1,170
4,1200,2,2,35
5,1550,3,1,250
4,3600,4,2,300
3,1600,4,1,120
2,1120,2,0,60
3,1200,4,1,240
6,2500,6,1,88
2,1200,2,1,46.13
1,38Guntha,1,0,170
3,2300,4,1,240
9,3600,8,2,165
10,3280,9,3,450
2,1200,2,1,45.84
5,1500,5,2,210
8,1200,8,,135
2,935,2,0,78
5,2400,5,1,408
4,2325,4,1,120
8,1200,8,3,250
7,4000,7,,90
2,1200,3,0,78
5,1440,5,2,97
4,7000,8,,450
4,1200,4,2,180
3,2700,3,2,200
3,3009,3,2,330
5,2000,4,0,65
4,1200,4,1,190
6,1166,6,,135
3,3425,3,1,320
4,2950,4,3,253
4,1386,3,2,93
4,784,2,2,165
2,860,2,0,56
3,2800,3,1,400
3,1448,4,0,118
4,1350,4,3,240
3,2500,2,1,300
3,1150,3,2,80
5,1200,4,1,160
4,1700,3,2,55
6,3800,6,,175
4,1200,4,1,75
1,1200,1,0,39.82
4,1018,4,1,150
5,3520,6,1,460
4,2580 - 2591,4,0,115
4,1900,3,1,400
3,1500,3,1,61.52
3,1200,3,1,68
3,2172,3,0,100
4,600,2,1,72
1,410,1,1,48
3,1995,3,1,100
2,880,1,0,90
6,1200,6,1,95
3,1065,3,1,72
1,850,1,1,78
4,2100,3,0,210
4,4800,4,3,550
4,2700,3,0,75
4,1200,4,2,270
4,60,4,2,218
18,1200,18,,200
2,1200,2,1,46.13
2,1200,2,1,65
4,2400,2,2,250
6,7000,6,2,560
3,2400,3,0,348
3,1884,3,2,95
8,1200,8,,145
3,2500,3,1,250
2,1350,2,0,90
4,4800,5,2,350
3,1200,3,2,110
6,1214,3,0,220
3,6Acres,2,0,80
3,2000,2,2,275
3,1200,2,0,66
6,1500,9,3,230
4,3150,5,1,212
3,450,3,1,70
4,4304,4,2,699
4,1575,4,3,250
3,1200,2,1,52
4,1200,5,1,150
4,1125,3,2,126
5,2400,4,1,325
4,1200,4,2,125
2,600,2,2,80
4,600,3,2,82
4,1600,4,1,200
7,1200,6,2,150
3,1700,3,1,65
7,2456,7,2,85
5,4000,5,2,425
4,800,5,3,115
4,1200,2,1,75
1,840,1,1,150
4,1240,4,0,110
3,1200,3,1,56.1
5,9600,7,2,2736
6,2750,6,3,200
4,1200,4,3,375
2,660,2,0,76
5,1730,5,2,75
4,3250,4,2,136
4,2360,4,2,601
4,1344,4,1,84
5,1356,5,2,139
5,1200,5,1,125
4,2400,4,3,500
2,1200,2,0,82
3,2020,3,3,270
3,1200,3,2,149
1,400,1,1,75
3,1200,2,0,66
4,2600,4,2,300
5,2700,4,2,125
4,615,4,2,110
4,1200,4,1,105
3,1750,3,2,120
9,960,5,2,130
3,1500,5,2,95
7,2800,5,3,95
3,1875,2,1,110
5,2500,4,3,100
2,1500,1,0,218
4,1740,4,3,175
4,3500,5,2,450
6,970,6,3,105
7,3150,7,3,375
2,1200,2,0,62
2,1050,2,0,58
3,1200,3,1,70
4,1500,4,1,360
4,1350,4,1,310
5,1200,4,1,99
4,2400,3,0,200
7,3200,7,0,150
3,800,2,0,60
5,1400,6,3,252
4,5400,5,3,475
1,1350,1,1,145
4,2500,4,0,170
3,1520,3,1,165
5,910,4,2,194
4,600,4,1,70
3,1524,4,2,400
5,1200,6,,140
1,1000,1,1,60
8,1200,10,2,180
4,1200,4,1,125
5,3250,5,2,395
4,3500,4,2,550
5,1200,6,2,110
8,772,5,1,60
6,2999.97,6,0,110
4,1440,4,1,240
2,800,1,0,45
4,1200,4,0,120
3,1892,3,2,200
2,2400,2,1,125
4,4250,4,2,610
4,3671,4,1,220
4,750,4,2,90
3,1200,3,1,56.53
4,1600,3,3,185
3,2200,4,1,150
6,2500,5,2,185
5,2100,3,0,145
2,1200,2,1,68
5,3000,4,0,900
4,2100,3,1,147
3,1200,3,2,240
4,750,4,2,125
1,540,1,0,22
5,1200,5,1,260
7,2240,4,1,700
3,1600,3,1,120
4,2400,4,1,180
6,1200,6,2,220
5,1200,3,1,180
4,600,3,0,95
2,1500,2,0,91
5,1600,5,2,140
4,2400,4,3,470
4,1000,4,2,120
4,2400,3,3,140
4,1600,4,3,250
8,1150,8,,70
4,2400,3,0,185
3,850,3,0,63
4,1600,5,0,130
4,2000,3,1,180
3,2153,4,3,120
3,1200,3,2,120
4,1672,3,2,190
3,3000,4,2,240
5,1650,6,,200
1,1675,1,0,241
3,1200,3,2,150
4,3750,4,,190
4,1200,3,2,148
4,2700,5,1,95.75
3,5480,4,2,400
2,600,2,1,72
8,1200,7,3,250
5,1200,5,1,235
3,5656,5,0,499
6,1200,6,2,170
2,1200,1,0,50
4,4723,4,3,500
4,3508,4,1,386
4,3700,4,2,400
3,1500,3,1,73
2,1200,2,0,120
4,1200,4,2,100
3,600,5,1,135
4,3206,5,,270
4,1500,4,,235
3,600,3,1,90
4,4350,8,,2600
4,2400,4,1,700
6,1500,4,2,233
5,750,3,1,88
4,886,4,2,120
4,350,3,1,45
3,875,3,1,115
6,2400,5,2,750
6,3500,6,,115
4,2400,5,3,550
2,900,2,1,145
3,1040,2,1,109
4,1750,3,1,185
5,1000,4,3,80
4,1200,4,1,80
5,1200,5,2,85
3,2400,2,1,360
4,1350,4,3,235
8,1500,6,0,270
3,760,4,2,95
5,2000,5,,75
3,2400,4,2,300
2,1200,2,1,68
4,3734,5,1,430
3,1200,3,2,228
1,540,1,0,35
3,1300,3,,145
5,1200,5,1,130
4,3000,4,2,140
7,3100,7,3,145
4,4007,4,3,530
4,650,2,1,58
4,1200,4,1,85
7,1500,7,3,130
4,2400,4,1,500
3,1200,2,0,66
4,3150,4,2,500
2,300Sq. Yards,2,2,150
7,1875,5,1,192
8,4000,8,3,160
3,2100,3,2,150
7,2875,7,,85
4,3100,5,0,425
4,6200,4,2,744
2,1160,2,1,65
7,3000,4,2,400
4,1200,4,1,110
4,4800,3,2,200
3,2900,3,2,297
1,600,1,0,24
8,1000,7,3,260
6,2295,3,0,650
5,4144,5,1,331
4,1800,3,0,180
3,1200,2,0,66
5,2500,4,0,650
6,4000,5,1,540
6,1200,6,0,85
5,600,3,0,140
5,2700,5,2,150
5,3210,,,353
3,1200,3,1,75
9,1200,9,,185
2,1200,2,1,36
3,600,4,2,70
4,1200,5,,325
2,1200,1,1,180
5,1000,4,2,300
2,754,2,0,69.99
3,1200,2,0,66
3,1200,2,2,130
2,1314,2,0,225
4,2400,4,1,150
3,1200,3,2,67.75
4,1100,2,1,60
6,2400,6,2,475
2,1000,2,0,66
4,600,5,,110
4,600,3,2,62
4,3385,4,1,220
7,1200,6,2,235
5,1200,5,,205
4,675,4,2,68
3,1400,3,3,63
5,1650,5,1,450
4,2485,4,2,198
4,1344,3,1,130
4,600,4,1,78
3,1200,3,0,190
6,625,3,3,78
3,1740,3,2,150
4,1000,4,2,130
5,900,4,1,62
4,1250,4,,135
4,2665,5,3,125
6,1500,6,1,300
4,1200,4,3,155
3,600,3,3,86
7,2800,6,1,110
6,30400,4,2,1824
5,1200,4,2,200
3,1350,1,0,120
4,1750,4,2,263
5,2040,4,1,500
4,2400,4,1,228
6,760,6,0,98
3,1500,3,1,61.9
5,1200,4,2,240
3,1650,2,1,130
6,600,6,2,65
4,600,5,2,99
5,1200,2,1,100
4,770,3,2,65.25
10,7150,13,,3600
4,600,3,2,100
3,1500,3,2,90
3,1500,3,1,71
1,600,1,1,55
4,2700,3,2,230
3,440,3,1,35
3,1200,3,2,65
4,6688,6,1,700
4,1200,4,2,125
4,1200,5,1,350
3,1800,3,1,84
3,1200,3,2,110
2,1600,2,1,90
2,1688,2,0,280
2,1160,2,1,130
6,1800,5,1,140
8,4000,7,0,110
5,1330,5,0,210
4,9200,4,,2600
8,1200,8,0,140
6,8000,6,3,2800
3,3500,3,2,275
4,1200,5,,325
1,896,1,0,100
6,1200,3,,125
7,1590,9,3,132
9,1178,9,1,75
8,6000,8,3,215
4,2758,4,1,240
4,1200,5,,325
2,1200,2,0,75
3,2000,2,2,360
3,2010,3,2,201
4,1600,4,2,45
7,1400,7,,218
6,1200,5,,130
5,1375,5,1,125
1,812,1,0,26
5,1500,6,2,145
5,774,5,3,70
4,1200,5,,325
7,1500,9,2,250
5,3453,4,0,231
